id,tarih,tf,sembol,karar,kod,skor,giris,stop,t1,t2,direnc,rr,durum,v
2026-06-19_EGSER_gunluk,2026-06-19,gunluk,EGSER,Long Adayi,5,78,3.34,3.04,3.79,3.94,3.89,1.83,GAP_IPTAL,3
2026-06-19_MSGYO_haftalik,2026-06-19,haftalik,MSGYO,Long Adayi,5,83,6.74,5.49,8.61,9.23,10.05,2.66,DEAD,3
2026-06-19_OYAYO_haftalik,2026-06-19,haftalik,OYAYO,Long Adayi,5,83,52.7,44.65,64.78,68.8,70.7,2.24,DEAD,3
2026-06-19_KUVVA_haftalik,2026-06-19,haftalik,KUVVA,Long Adayi,5,79,146.3,127.82,174.03,183.27,175.0,1.55,STOP,3
2026-06-19_PSGYO_haftalik,2026-06-19,haftalik,PSGYO,Long Adayi/dikkat,4,79,4.0,2.77,5.84,6.46,4.0,0.0,DEAD,3
2026-06-22_EKOS_gunluk,2026-06-22,gunluk,EKOS,Long Adayi,5,88,7.71,6.98,8.81,9.17,9.48,2.42,STOP,3
2026-06-22_KBORU_gunluk,2026-06-22,gunluk,KBORU,Long Adayi,5,88,25.42,23.56,28.21,29.14,28.22,1.51,DEAD,3
2026-06-22_KORDS_gunluk,2026-06-22,gunluk,KORDS,Long Adayi,5,84,78.5,71.87,88.44,91.75,94.55,2.42,STOP,3
2026-06-22_KOPOL_gunluk,2026-06-22,gunluk,KOPOL,Long Adayi,5,83,6.87,6.06,8.09,8.49,6.9,0.04,DEAD,3
2026-06-22_AYEN_gunluk,2026-06-22,gunluk,AYEN,Long Adayi,5,79,38.6,34.85,44.23,46.11,45.8,1.92,STOP,3
2026-06-22_CWENE_gunluk,2026-06-22,gunluk,CWENE,Long Adayi,5,79,39.6,36.43,44.35,45.94,45.14,1.75,STOP,3
2026-06-22_AKENR_gunluk,2026-06-22,gunluk,AKENR,Long Adayi,5,78,13.0,11.71,14.94,15.59,15.53,1.95,STOP,3
2026-06-22_KGYO_gunluk,2026-06-22,gunluk,KGYO,Long Adayi,5,78,12.21,11.57,13.17,13.49,13.34,1.77,STOP,3
2026-06-22_TATEN_gunluk,2026-06-22,gunluk,TATEN,Long Adayi,5,78,14.83,14.03,16.03,16.43,21.2,7.95,STOP,3
2026-06-23_BRLSM_gunluk,2026-06-23,gunluk,BRLSM,Long Adayi,5,84,20.4,17.75,24.37,25.69,25.48,1.92,STOP,3
2026-06-24_EDIP_gunluk,2026-06-24,gunluk,EDIP,Long Adayi,5,80,38.0,35.54,41.69,42.92,42.4,1.79,DEAD,3
2026-06-24_ANGEN_gunluk,2026-06-24,gunluk,ANGEN,Long Adayi,5,78,11.53,10.28,13.41,14.04,16.0,3.57,DEAD,3
2026-06-24_ICUGS_gunluk,2026-06-24,gunluk,ICUGS,Long Adayi,5,78,5.65,4.81,6.91,7.33,6.93,1.53,DEAD,3
2026-06-24_TATGD_gunluk,2026-06-24,gunluk,TATGD,Long Adayi,5,78,19.61,18.46,21.33,21.9,23.34,3.25,STOP,3
2026-06-25_GEREL_gunluk,2026-06-25,gunluk,GEREL,Long Adayi,5,84,44.5,37.96,54.32,57.59,44.78,0.04,STOP,3
2026-06-26_GOODY_gunluk,2026-06-26,gunluk,GOODY,Long Adayi,5,84,17.91,16.23,20.42,21.26,23.74,3.48,GAP_IPTAL,3
2026-06-26_EUYO_haftalik,2026-06-26,haftalik,EUYO,Long Adayi,5,79,5.81,5.04,6.97,7.36,7.14,1.72,STOP,3
2026-06-30_DCTTR_gunluk,2026-06-30,gunluk,DCTTR,Long Adayi,5,90,13.03,11.79,14.89,15.51,15.38,1.9,STOP,3
2026-06-30_ULUUN_gunluk,2026-06-30,gunluk,ULUUN,Long Adayi,5,84,9.15,8.7,9.82,10.05,10.79,3.66,STOP,3
2026-07-01_AGHOL_gunluk,2026-07-01,gunluk,AGHOL,Long Adayi,5,88,34.06,32.02,37.13,38.15,37.78,1.82,STOP,3
2026-07-03_TKFEN_gunluk,2026-07-03,gunluk,TKFEN,Long Adayi,5,84,140.5,129.99,156.27,161.53,159.9,1.85,STOP,3
2026-07-03_EKGYO_haftalik,2026-07-03,haftalik,EKGYO,Long Adayi,5,84,20.8,18.03,24.96,26.35,26.36,2.01,DEAD,3
2026-07-03_BMSTL_haftalik,2026-07-03,haftalik,BMSTL,Long Adayi,5,79,44.02,38.02,53.03,56.03,66.0,3.66,DEAD,3
2026-07-03_MAALT_haftalik,2026-07-03,haftalik,MAALT,Long Adayi,5,79,1153.0,1066.35,1282.98,1326.3,1576.0,4.88,DEAD,3
2026-07-03_ZEDUR_haftalik,2026-07-03,haftalik,ZEDUR,Long Adayi,5,79,9.63,8.72,10.99,11.45,11.95,2.55,STOP,3
2026-07-06_CCOLA_gunluk,2026-07-06,gunluk,CCOLA,Long Adayi,5,89,82.4,78.82,87.77,89.56,87.9,1.54,ACIK,3
2026-07-06_PATEK_gunluk,2026-07-06,gunluk,PATEK,Long Adayi,5,88,24.12,21.86,27.51,28.64,28.38,1.88,STOP,3
2026-07-06_ARDYZ_gunluk,2026-07-06,gunluk,ARDYZ,Long Adayi,5,86,63.35,54.94,75.96,80.16,76.5,1.56,DEAD,3
2026-07-06_PRKME_gunluk,2026-07-06,gunluk,PRKME,Long Adayi,5,84,21.14,18.7,24.8,26.02,27.6,2.65,STOP,3
2026-07-07_ATATP_gunluk,2026-07-07,gunluk,ATATP,Long Adayi,5,84,219.0,200.29,247.06,256.41,265.43,2.48,TRAIL,3
2026-07-07_AVGYO_gunluk,2026-07-07,gunluk,AVGYO,Long Adayi,5,84,14.83,13.48,16.86,17.53,17.25,1.79,TRAIL,3
2026-07-07_BINBN_gunluk,2026-07-07,gunluk,BINBN,Long Adayi,5,84,190.9,171.67,219.75,229.37,226.3,1.84,DEAD,3
2026-07-07_GMTAS_gunluk,2026-07-07,gunluk,GMTAS,Long Adayi,5,84,46.94,43.68,51.83,53.46,54.9,2.44,STOP,3
2026-07-08_DGGYO_gunluk,2026-07-08,gunluk,DGGYO,Long Adayi,5,88,39.86,34.64,47.68,50.29,49.3,1.81,TRAIL,3
2026-07-08_VBTYZ_gunluk,2026-07-08,gunluk,VBTYZ,Long Adayi,5,88,29.66,26.7,34.1,35.58,35.46,1.96,TRAIL,3
2026-07-10_KCHOL_haftalik,2026-07-10,haftalik,KCHOL,Long Adayi,5,79,192.8,178.36,214.46,221.68,220.84,1.94,DEAD,3
2026-07-13_CEOEM_gunluk,2026-07-13,gunluk,CEOEM,Long Adayi,5,89,30.2,25.84,36.74,38.92,30.44,0.06,STOP,3
2026-07-13_OZYSR_gunluk,2026-07-13,gunluk,OZYSR,Long Adayi,5,84,12.77,12.08,13.8,14.14,14.0,1.79,TRAIL,3
2026-07-14_RGYAS_gunluk,2026-07-14,gunluk,RGYAS,Long Adayi,5,88,198.2,190.38,209.93,213.85,211.0,1.64,DEAD,3
2026-07-16_AKFYE_gunluk,2026-07-16,gunluk,AKFYE,Long Adayi,5,84,24.4,22.43,27.35,28.33,29.34,2.51,TRAIL,3
